Time	('Ellipse', '0', 'MidPos x')	('Ellipse', '0', 'MidPos y')	('Ellipse', '0', 'Size a')	('Ellipse', '0', 'Size b')	('Ellipse', '0', 'Angle')	('Ellipse', '1', 'MidPos x')	('Ellipse', '1', 'MidPos y')	('Ellipse', '1', 'Size a')	('Ellipse', '1', 'Size b')	('Ellipse', '1', 'Angle')	('Connection', '0', 'Range x')	('Connection', '0', 'Range y')	('Connection', '0', 'Lenght')
91.00032894256181	436.22928619384766	32.00211715698242	19.195783615112305	20.437498092651367	34.002685546875	473.2465534210205	31.108976364135742	19.50367546081543	20.69870376586914	47.63670349121094	37.01726722717285	0.8931407928466797	37.02804036731855
91.0243193216715	436.27725982666016	31.973772048950195	19.13847541809082	20.351730346679688	32.73644256591797	473.2626762390137	31.084872245788574	19.478185653686523	20.786643981933594	46.42529296875	36.985416412353516	0.8888998031616211	36.99609668674859
91.04995101542326	436.2967596054077	31.992650032043457	19.118858337402344	20.508508682250977	34.21315383911133	473.2626762390137	31.084872245788574	19.478185653686523	20.786643981933594	46.42529296875	36.96591663360596	0.9077777862548828	36.97706117408364
91.0850537403114	436.2660827636719	32.00598335266113	19.11275291442871	20.446136474609375	31.60715103149414	473.2465534210205	31.108976364135742	19.50367546081543	20.69870376586914	47.63670349121094	36.98047065734863	0.8970069885253906	36.991348063790355
91.11591929081615	436.27725982666016	31.973772048950195	19.13847541809082	20.351730346679688	32.73644256591797	473.2465534210205	31.108976364135742	19.50367546081543	20.69870376586914	47.63670349121094	36.96929359436035	0.8647956848144531	36.97940697797204
91.20007999285026	436.27725982666016	31.973772048950195	19.13847541809082	20.351730346679688	32.73644256591797	473.2465534210205	31.108976364135742	19.50367546081543	20.69870376586914	47.63670349121094	36.96929359436035	0.8647956848144531	36.97940697797204
91.25786684146837	436.2660827636719	32.00598335266113	19.11275291442871	20.446136474609375	31.60715103149414	473.2465534210205	31.108976364135742	19.50367546081543	20.69870376586914	47.63670349121094	36.98047065734863	0.8970069885253906	36.991348063790355
91.29417217764393	436.27725982666016	31.973772048950195	19.13847541809082	20.351730346679688	32.73644256591797	473.2961730957031	31.073713302612305	19.482906341552734	20.70895767211914	44.037784576416016	37.01891326904297	0.9000587463378906	37.02985343432762
91.32496296847555	436.2660827636719	32.00598335266113	19.11275291442871	20.446136474609375	31.60715103149414	473.2961730957031	31.073713302612305	19.482906341552734	20.70895767211914	44.037784576416016	37.03009033203125	0.9322700500488281	37.0418238946817
91.35809373707635	436.27725982666016	31.973772048950195	19.13847541809082	20.351730346679688	32.73644256591797	473.2626762390137	31.084872245788574	19.478185653686523	20.786643981933594	46.42529296875	36.985416412353516	0.8888998031616211	36.99609668674859
91.4195424504114	436.27725982666016	31.973772048950195	19.13847541809082	20.351730346679688	32.73644256591797	473.28021335601807	31.098010063171387	19.510149002075195	20.619667053222656	45.09630584716797	37.00295352935791	0.8757619857788086	37.01331556280194
91.60151802914471	436.2660827636719	32.00598335266113	19.11275291442871	20.446136474609375	31.60715103149414	473.2626762390137	31.084872245788574	19.478185653686523	20.786643981933594	46.42529296875	36.9965934753418	0.9211111068725586	37.008058236699036
91.63976337883818	436.27725982666016	31.973772048950195	19.13847541809082	20.351730346679688	32.73644256591797	473.2626762390137	31.084872245788574	19.478185653686523	20.786643981933594	46.42529296875	36.985416412353516	0.8888998031616211	36.99609668674859
91.65817022981463	436.2490301132202	31.99058437347412	19.130308151245117	20.428071975708008	35.09250259399414	473.2465534210205	31.108976364135742	19.50367546081543	20.69870376586914	47.63670349121094	36.99752330780029	0.8816080093383789	37.00802566462247
91.69119667468973	436.27725982666016	31.973772048950195	19.13847541809082	20.351730346679688	32.73644256591797	473.2465534210205	31.108976364135742	19.50367546081543	20.69870376586914	47.63670349121094	36.96929359436035	0.8647956848144531	36.97940697797204
91.74025872963605	436.2660827636719	32.00598335266113	19.11275291442871	20.446136474609375	31.60715103149414	473.2626762390137	31.084872245788574	19.478185653686523	20.786643981933594	46.42529296875	36.9965934753418	0.9211111068725586	37.008058236699036
91.77841334827167	436.2490301132202	31.99058437347412	19.130308151245117	20.428071975708008	35.09250259399414	473.2465534210205	31.108976364135742	19.50367546081543	20.69870376586914	47.63670349121094	36.99752330780029	0.8816080093383789	37.00802566462247
91.80800016854909	436.27725982666016	31.973772048950195	19.13847541809082	20.351730346679688	32.73644256591797	473.2465534210205	31.108976364135742	19.50367546081543	20.69870376586914	47.63670349121094	36.96929359436035	0.8647956848144531	36.97940697797204
91.81835404346188	436.27725982666016	31.973772048950195	19.13847541809082	20.351730346679688	32.73644256591797	473.2465534210205	31.108976364135742	19.50367546081543	20.69870376586914	47.63670349121094	36.96929359436035	0.8647956848144531	36.97940697797204
91.85995440339572	436.2660827636719	32.00598335266113	19.11275291442871	20.446136474609375	31.60715103149414	473.2465534210205	31.108976364135742	19.50367546081543	20.69870376586914	47.63670349121094	36.98047065734863	0.8970069885253906	36.991348063790355
91.88747887614463	436.27725982666016	31.973772048950195	19.13847541809082	20.351730346679688	32.73644256591797	473.2465534210205	31.108976364135742	19.50367546081543	20.69870376586914	47.63670349121094	36.96929359436035	0.8647956848144531	36.97940697797204
91.9134130067559	436.2967596054077	31.992650032043457	19.118858337402344	20.508508682250977	34.21315383911133	473.2961730957031	31.073713302612305	19.482906341552734	20.70895767211914	44.037784576416016	36.99941349029541	0.9189367294311523	37.01082332694791
